,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,Power
0,1.0,-0.9477699817019886,-0.9442246713038479,0.2726858553859173,0.23574841821494558,-1.7034626774304178,0.0,0.6261219897369392
1,0.0,-0.8977149892700662,-0.8768215386556059,-0.8380949209142838,0.631531575718007,-1.6561115269071662,0.0,0.49476301285864416
2,0.0,-0.9477699817019886,-1.0116278039521283,-0.13900212464143002,0.982082372363576,-1.6245440932249984,0.0,1.4653917225863262
3,0.0,-0.8977149892700662,-0.9442246713038479,-0.6439024775051578,-0.1374185588593692,-1.5929766595428307,0.0,-0.4512000855615474
4,0.0,-0.8977149892700662,-0.8768215386556059,-0.8380949209142838,-0.08087810778750329,-1.5614092258606629,0.0,-0.4824314424426249
5,1.0,-0.9477699817019886,-0.9442246713038479,-0.7060440593960782,0.13397560628558705,-1.529841792178495,0.0,-0.10925253085655763
7,0.0,-0.9477699817019886,-0.9442246713038479,0.08626110971315623,-0.0582619273587566,-1.4509232079730756,0.0,0.07559083320256055
8,1.0,-0.8476599968381152,-0.8768215386556059,1.1737387928042622,-1.3700003922260462,-1.4193557742909078,0.0,-1.4346628449422991
9,1.0,-0.7475500119742419,-0.674612140710803,1.7485484252952754,-1.4378489335122855,-1.3720046237676562,0.0,-1.3165895881340497
10,2.0,-0.7976050044061929,-0.7420152733590833,2.067024032486242,-1.9014806323015863,-1.3246534732444044,0.0,-1.9949985544305282
11,2.0,-0.697495019542291,-0.6072090080625226,-0.7215794548688083,0.40536977143054337,-1.245734889038985,0.0,0.25774620746309473
12,1.0,-0.697495019542291,-0.6072090080625226,-1.374066064723472,1.1743199060079204,-1.1668163048335656,0.0,0.8508665794127306
13,1.0,-0.697495019542291,-0.5398058754142806,1.7563161230316404,-1.2116871292248217,-1.1194651543103138,0.0,-0.9296953187642288
17,1.0,-0.6474400271103685,-0.5398058754142806,-0.8225595254415538,0.5523749442173952,-0.9616279858994748,0.0,0.3962327638482895
18,2.0,-0.5973850346784176,-0.5398058754142806,-1.6304000900235183,1.5587949732966084,-0.9142768353762232,0.0,1.1542679197519734
19,1.0,-0.5473300422464953,-0.4724027427660002,0.9018693720314858,-0.9289848738654921,-0.8353582511708038,0.0,-0.8437677760226399
20,2.0,-0.5473300422464953,-0.4724027427660002,-1.0944289462143302,0.22444032800057304,-0.7880071006475521,0.0,-0.2188652296102504
21,0.0,-0.5973850346784176,-0.4724027427660002,-0.5118516159869521,0.46191022250240926,-0.7090885164421326,0.0,0.46938133869497467
22,1.0,-0.5473300422464953,-0.4724027427660002,0.5057167874768685,-1.1325304977242097,-0.6775210827599648,0.0,-1.3398671391357138
23,0.0,-0.49727504981454435,-0.4049996101177581,1.880599286813481,-1.6979350084428688,-0.6301699322367131,0.0,-1.7095869163088502
24,1.0,-0.49727504981454435,-0.4049996101177581,0.3503628327495677,-0.3861965435755796,-0.5986024985545453,0.0,-0.27253689476884413
25,0.0,-0.49727504981454435,-0.33759647746947774,2.6806721536590805,-1.969329173587825,-0.5512513480312936,0.0,-1.9100074015777893
26,0.0,-0.44722005738259346,-0.33759647746947774,-0.030254356332319418,-0.19395900993123513,-0.5196839143491259,0.0,-0.19071845118656405
27,2.0,-0.44722005738259346,-0.4049996101177581,2.2922872668408285,-1.8223240008009736,-0.48811648066695806,0.0,-1.7789899316001327
28,0.0,-0.44722005738259346,-0.4049996101177581,-0.5972962910869676,0.3940616812161708,-0.4091978964615386,0.0,0.31997757784094644
29,0.0,-0.49727504981454435,-0.4049996101177581,1.3756989339497534,-1.2003790390104485,-0.3776304627793708,0.0,-1.0729850044616447
30,1.0,-0.44722005738259346,-0.33759647746947774,-1.374066064723472,0.8463852897910982,-0.346063029097203,0.0,0.42309062913085316
